dateupdated,shoe_type,avg_price
2017-01-27T01:23:25Z,Shoe,59.99
2017-01-27T01:23:25Z,Shoe,80
2016-01-15T21:20:34Z,Canvas,82.6
2016-01-15T21:20:34Z,Canvas,76.49
2017-01-12T06:20:54Z,Boot,265
2017-01-12T06:20:54Z,Boot,64.99
2017-01-12T06:13:02Z,Shoe,57.99
2017-01-12T06:13:02Z,Shoe,90
2017-01-12T06:13:44Z,Sneaker,78
2017-01-12T06:13:44Z,Sneaker,15.99
2016-10-05T22:22:17Z,Boot,49.63
2017-01-12T06:20:55Z,Boot,63.99
2017-01-12T06:20:55Z,Boot,120
2016-10-05T22:22:43Z,Oxford,345
2016-10-05T22:22:43Z,Oxford,64.99
2016-03-04T03:21:12Z,Sneaker,99.99
2016-03-04T03:21:12Z,Sneaker,89.99
2016-04-02T14:45:52Z,Shoe,311.975
2017-01-24T18:54:02Z,Boot,135
2016-10-05T22:23:23Z,Loafer,138
2016-10-05T22:23:23Z,Loafer,37.99
2016-11-07T00:00:35Z,Boot,220
2016-11-07T00:00:35Z,Boot,159.99
2016-03-22T21:57:25Z,Shoe,59.85
2016-03-22T22:20:11Z,Boot,34.99
2016-11-07T19:13:33Z,Shoe,61.95
2016-07-17T11:19:06Z,Shoe,122.95
2016-07-17T11:19:06Z,Shoe,125
2016-04-07T23:07:29Z,Shoe,64.99
2017-01-17T19:02:11Z,Shoe,18.97
2016-11-09T17:21:05Z,Boot,39.95
2016-04-08T01:15:55Z,Shoe,59.99
2017-01-12T06:19:45Z,Shoe,99.9
2017-01-12T06:19:45Z,Shoe,39.9
2017-01-12T06:19:19Z,Boot,23.89
2017-01-12T06:19:19Z,Boot,23.89
2017-01-12T06:19:19Z,Boot,25.13
2017-01-12T06:19:19Z,Boot,24.88
2017-01-12T06:19:19Z,Boot,32.8
2016-11-01T10:25:52Z,Loafer,59.95
2016-11-01T10:25:52Z,Loafer,54.65
2016-04-07T23:00:45Z,Shoe,59.49
2016-04-07T23:00:45Z,Shoe,69.99
2017-01-17T18:53:49Z,Sneaker,39.99
2016-11-11T09:59:36Z,Shoe,59.95
2016-04-12T03:56:56Z,Shoe,60
2016-11-07T00:46:09Z,Sneaker,44.5
2016-11-07T00:46:09Z,Sneaker,28.79
2016-03-26T22:25:13Z,Shoe,99.99
2016-03-26T22:25:13Z,Shoe,49.99
2016-11-09T17:21:09Z,Boot,154.95
2016-11-09T17:21:09Z,Boot,157.28
2016-11-14T01:02:57Z,Boot,9.98
2016-11-14T01:02:57Z,Boot,59.98
2017-01-12T06:19:55Z,Boot,125
2017-01-12T06:19:55Z,Boot,79.99
2017-01-27T01:30:17Z,Boot,52.24
2016-04-01T19:01:13Z,Shoe,54.95
2016-03-03T05:02:51Z,Boot,24.97
